iter	Logloss
0	0.6885536057
1	0.6833743374
2	0.6795470451
3	0.6758369337
4	0.6724552949
5	0.6685801648
6	0.6647777978
7	0.6602332912
8	0.657589215
9	0.6536437558
10	0.6498849221
11	0.6460635567
12	0.641822246
13	0.6384011421
14	0.634462833
15	0.6310566357
16	0.6279022845
17	0.6242740715
18	0.6203937915
19	0.6164892356
20	0.6130983235
21	0.6103471201
22	0.6080852091
23	0.6050175404
24	0.6011665236
25	0.5977502803
26	0.5945339144
27	0.5911574904
28	0.5886221371
29	0.5857045094
30	0.5833558876
31	0.5805577476
32	0.5774997095
33	0.5742162343
34	0.5720512305
35	0.5690485267
36	0.565568755
37	0.5630984222
38	0.5604235725
39	0.5578266123
40	0.554920513
41	0.5528166322
42	0.5501487167
43	0.5475181589
44	0.5456596761
45	0.5437736098
46	0.5409875198
47	0.5386085421
48	0.5365149799
49	0.5344087288
50	0.5323375445
51	0.5300743212
52	0.5280426352
53	0.5258670849
54	0.5234798599
55	0.5217381207
56	0.5204237484
57	0.5181726042
58	0.5162846848
59	0.5137263469
60	0.5113795789
61	0.5093436446
62	0.5074128405
63	0.5057222388
64	0.5040463002
65	0.5019663182
66	0.5002841789
67	0.4988905085
68	0.496691614
69	0.494881546
70	0.4932135686
71	0.4913398528
72	0.4898221863
73	0.4878451924
74	0.4864481735
75	0.4846516956
76	0.4833812869
77	0.4815446772
78	0.480232597
79	0.4786299282
80	0.4768820995
81	0.4751322372
82	0.4734603744
83	0.4721614568
84	0.4708285887
85	0.4691196394
86	0.4674647387
87	0.4661674257
88	0.4646005034
89	0.4631868931
90	0.4620343626
91	0.4609651835
92	0.4595172932
93	0.4580245092
94	0.4567207631
95	0.4549789563
96	0.4535928244
97	0.4519397276
98	0.450450071
99	0.4490703224
100	0.4479969467
101	0.4466659892
102	0.4455113739
103	0.4444777502
104	0.4434721282
105	0.4429091526
106	0.4416923609
107	0.4407420593
108	0.4394626381
109	0.4386489892
110	0.4372553776
111	0.4357841782
112	0.4343462928
113	0.4332042169
114	0.4318906465
115	0.4307632758
116	0.4295560686
117	0.4284616986
118	0.4276739292
119	0.4263623978
120	0.4250104835
121	0.4237522897
122	0.4229155823
123	0.4219367912
124	0.4210526463
125	0.4198021211
126	0.4187338859
127	0.4175112992
128	0.4165307243
129	0.4154502177
130	0.4143427833
131	0.4137492949
132	0.4124343851
133	0.4113804412
134	0.4105329944
135	0.4098975473
136	0.4089958615
137	0.407733669
138	0.4068738176
139	0.4059467814
140	0.4052455944
141	0.4041991718
142	0.4031878211
143	0.4023271402
144	0.401247341
145	0.4001560385
146	0.3993121404
147	0.3983449875
148	0.3973910752
149	0.3958648116
150	0.3949009327
151	0.3944181124
152	0.3934860426
153	0.3925709578
154	0.3915714843
155	0.3910707062
156	0.3901427528
157	0.3894543541
158	0.3887037587
159	0.3878578996
160	0.3870390592
161	0.3861578694
162	0.3853859577
163	0.3844079214
164	0.3837616874
165	0.3831832299
166	0.382482451
167	0.3815123997
168	0.3809706438
169	0.3800758641
170	0.3793266131
171	0.3785443154
172	0.3778084251
173	0.37708771
174	0.376482147
175	0.3756123703
176	0.3749221666
177	0.3743268143
178	0.3734294698
179	0.3726731814
180	0.3723465038
181	0.3717243375
182	0.3708227849
183	0.3703987528
184	0.3698118077
185	0.3690072011
186	0.3681827503
187	0.367490645
188	0.3669200023
189	0.3661732357
190	0.3655262063
191	0.364480122
192	0.3636991384
193	0.3631902216
194	0.3625043572
195	0.3618776358
196	0.3611213578
197	0.3602800316
198	0.3595042833
199	0.3586751978
200	0.3579247921
201	0.3570944478
202	0.3562825395
203	0.3556145458
204	0.3551735877
205	0.3544628653
206	0.353708311
207	0.353188305
208	0.3528340474
209	0.3521166788
210	0.3515500111
211	0.3509274638
212	0.3500722235
213	0.3494684653
214	0.3486915813
215	0.3481501678
216	0.3476835159
217	0.3469259194
218	0.346196243
219	0.345390441
220	0.3447340278
221	0.3441998624
222	0.3435077755
223	0.3429009121
224	0.3424488945
225	0.3419160259
226	0.3413400666
227	0.3406279731
228	0.3399526057
229	0.3393693806
230	0.3385923996
231	0.3377872565
232	0.3370496615
233	0.336556622
234	0.3360827692
235	0.3354956254
236	0.3348815452
237	0.3340300427
238	0.3333295503
239	0.3327662429
240	0.3323569031
241	0.3316819448
242	0.3311740089
243	0.3308359983
244	0.3301051664
245	0.3297794847
246	0.3294500244
247	0.3286544398
248	0.3280945056
249	0.3274056703
250	0.3269709934
251	0.326411982
252	0.3255897051
253	0.3250743335
254	0.3244937326
255	0.3240692458
256	0.3232763103
257	0.3228227121
258	0.3221272885
259	0.321523543
260	0.3210716771
261	0.320447606
262	0.3199018512
263	0.3193685567
264	0.3189917004
265	0.3185613291
266	0.3181985808
267	0.3174849618
268	0.3170829018
269	0.316771591
270	0.3162374256
271	0.3158693975
272	0.3154043611
273	0.3149753476
274	0.3145450732
275	0.313772803
276	0.3132720063
277	0.3128768526
278	0.3124353029
279	0.3121872298
280	0.3118276481
281	0.3112892249
282	0.3106097473
283	0.3095914735
284	0.309063412
285	0.3083805808
286	0.3078536304
287	0.3073189735
288	0.3066531657
289	0.3062722164
290	0.3058569779
291	0.3054726524
292	0.3050746829
293	0.3046849991
294	0.3041756505
295	0.3036465998
296	0.3032443621
297	0.3027458534
298	0.3021999449
299	0.301886213
300	0.3013077978
301	0.3008023832
302	0.3002931268
303	0.2997989169
304	0.299326205
305	0.2986020598
306	0.2981622681
307	0.2978645698
308	0.2971593725
309	0.2967966822
310	0.2965557187
311	0.2960114612
312	0.2958001241
313	0.2954879023
314	0.2950728504
315	0.2945304676
316	0.2939987928
317	0.2934790247
318	0.292734191
319	0.2922169716
320	0.2918573257
321	0.2915043843
322	0.2907030133
323	0.2900431153
324	0.2895898049
325	0.2892547513
326	0.2888599961
327	0.2884415865
328	0.2878764153
329	0.2875575131
330	0.287130055
331	0.2866137046
332	0.2861895767
333	0.285716691
334	0.2851958203
335	0.2847769546
336	0.2842765942
337	0.2839228678
338	0.2836474825
339	0.2833307841
340	0.2827558836
341	0.2821360507
342	0.2817504016
343	0.2813357987
344	0.2809267933
345	0.2802487468
346	0.2798482802
347	0.2794699057
348	0.2790572382
349	0.2786950316
350	0.2783343432
351	0.2779450175
352	0.2774540099
353	0.2772367144
354	0.2767899533
355	0.276369432
356	0.2760049932
357	0.2756011093
358	0.2750560053
359	0.274740909
360	0.2742816811
361	0.2738429107
362	0.27335528
363	0.2729088348
364	0.2725382686
365	0.272217553
366	0.2718140094
367	0.2716013232
368	0.2713164118
369	0.2709276511
370	0.2705404064
371	0.2702126865
372	0.2698641266
373	0.2694824125
374	0.2688218484
375	0.2684344476
376	0.2681848842
377	0.2679047198
378	0.2674937549
379	0.2671168538
380	0.2668349085
381	0.2662546231
382	0.2659032248
383	0.2655812172
384	0.264949825
385	0.2644471236
386	0.2642254821
387	0.2639733072
388	0.2634685989
389	0.2628052555
390	0.2623806908
391	0.2620649277
392	0.2618012204
393	0.2613543721
394	0.2609427946
395	0.2606088947
396	0.2603540035
397	0.2600729091
398	0.2597666005
399	0.259329064
400	0.2591304071
401	0.2587714099
402	0.258602389
403	0.2581458968
404	0.25785945
405	0.2576673349
406	0.2574557524
407	0.2571535785
408	0.2569715033
409	0.2566461879
410	0.2563368813
411	0.2560373423
412	0.2557112649
413	0.2556077499
414	0.2553733199
415	0.254996007
416	0.2547072955
417	0.254425853
418	0.253926705
419	0.2536175898
420	0.2531773034
421	0.2527314418
422	0.252534438
423	0.2521543586
424	0.2518302039
425	0.2515874939
426	0.2513258159
427	0.2511382045
428	0.2509694919
429	0.2507215401
430	0.2503958846
431	0.249967607
432	0.2495693683
433	0.2492788389
434	0.2490926011
435	0.2488422561
436	0.2484582724
437	0.2481954287
438	0.2479506479
439	0.2475813635
440	0.2473057686
441	0.2468957382
442	0.2466301192
443	0.2463595279
444	0.2461843711
445	0.2458398994
446	0.2455738195
447	0.245389058
448	0.2450233742
449	0.2447613026
450	0.2444690837
451	0.2441170504
452	0.2438656715
453	0.243503731
454	0.243268078
455	0.242823402
456	0.2423098961
457	0.2421876189
458	0.2417120277
459	0.2413293518
460	0.2410563873
461	0.2408499276
462	0.240541537
463	0.2403530368
464	0.2401219204
465	0.2399754664
